city,title,language,time,money
Київ,Tech Lead,Java,9р,7900
Львів,Tech Lead,Python,10р,7900
Вінниця,Middle,JavaScript,2р,790
Київ,Junior,Python,1р,790
Київ,Tech Lead,C# / .NET,10р,7850
Харків,Senior,TypeScript,6р,7800
Київ,Team Lead,JavaScript,8р,7800
Вінниця,Architect,C# / .NET,10р,7800
Київ,Tech Lead,TypeScript,10р,7800
Дніпро,Senior,TypeScript,5р,7800
Інше,Tech Lead,Ruby,10р,7800
Київ,Architect,Java,10р,7800
Київ,Junior,PHP,"0,25р",780
Одеса,Junior,JavaScript,1р,780
Київ,Senior,Ruby,8р,7780
Київ,Middle,C# / .NET,3р,773
Київ,Senior,TypeScript,5р,7700
Інше,Junior,JavaScript,"1,5р",770
Київ,Junior,Java,"0,5р",770
Київ,Tech Lead,C# / .NET,10р,7650
Львів,Senior,Go,10р,7600
Київ,Senior,Java,10р,7600
Київ,Senior,JavaScript,10р,7600
Київ,Team Lead,Swift,10р,7600
Київ,Architect,Java,10р,7600
Одеса,Team Lead,PHP,8р,7600
Київ,Senior,Scala,10р,7600
Київ,Tech Lead,Java,10р,7600
Львів,Junior,Python,1р,760
Рівне,Junior,JavaScript,1р,760
Харків,Junior,Java,"1,5р",760
Львів,Junior,JavaScript,"0,5р",760
Черкаси,Junior,Kotlin,1р,760
Харків,Junior,Go,4р,760
Київ,Junior,JavaScript,"0,25р",760
Київ,Senior,Java,6р,7550
Львів,Senior,Java,10р,7500
Львів,Senior,C# / .NET,5р,7500
Київ,Senior,PHP,10р,7500
Харків,Senior,Java,10р,7500
Львів,Senior,JavaScript,8р,7500
Київ,Senior,JavaScript,9р,7500
Київ,Team Lead,Java,10р,7500
Київ,Senior,Java,7р,7500
Київ,Senior,JavaScript,5р,7500
Київ,Senior,Go,10р,7500
Чернівці,Tech Lead,C# / .NET,10р,7500
Київ,Senior,Go,10р,7500
Львів,Architect,Java,10р,7500
Київ,Tech Lead,Java,10р,7500
Київ,Tech Lead,Go,10р,7500
Львів,Tech Lead,JavaScript,7р,7500
Харків,Senior,C# / .NET,7р,7500
Київ,Team Lead,Java,10р,7500
Київ,Senior,TypeScript,6р,7500
Львів,Senior,Python,6р,7500
Київ,Senior,Java,9р,7500
Київ,Team Lead,C++,10р,7500
Київ,Tech Lead,JavaScript,10р,7500
Київ,Senior,Scala,7р,7500
Львів,Tech Lead,Python,10р,7500
Київ,Team Lead,PHP,9р,7500
Львів,Architect,C# / .NET,10р,7500
Київ,Senior,Java,10р,7500
Дніпро,Architect,C# / .NET,10р,7500
Київ,Architect,PHP,10р,7500
Київ,Senior,JavaScript,10р,7500
Київ,Team Lead,Java,9р,7500
Київ,Senior,Ruby,7р,7500
Київ,Senior,Scala,10р,7500
Київ,Senior,JavaScript,10р,7500
Київ,Tech Lead,Python,8р,7500
Харків,Senior,PHP,10р,7500
Дніпро,Tech Lead,Go,10р,7500
Київ,Junior,TypeScript,"0,5р",750
Дніпро,Junior,Go,1р,750
Харків,Junior,JavaScript,"0,5р",750
Харків,Junior,JavaScript,1р,750
Харків,Junior,C# / .NET,"0,5р",750
Ужгород,Junior,PHP,1р,750
Харків,Junior,C# / .NET,1р,750
Рівне,Junior,JavaScript,"1,5р",750
Львів,Junior,JavaScript,1р,750
Полтава,Middle,PHP,2р,750
Київ,Junior,TypeScript,"1,5р",750
Вінниця,Junior,JavaScript,"1,5р",750
Львів,Junior,JavaScript,1р,750
Полтава,Middle,JavaScript,"1,5р",750
Житомир,Junior,PHP,2р,750
Київ,Intern/Trainee,C++,"0,5р",750
